商品ID,卖家ID,订单ID,客户ID,订单状态,下单时间,订单审核时间,发货时间,客户收货时间,预计送达时间,客户唯一ID,客户邮编前缀,客户城市,客户州,评论ID,评分,评论标题,评论内容,评论创建日期,评论回复时间,支付顺序号,支付类型,分期数,支付金额,订单项ID,商品价格,运费,卖家邮编前缀,卖家城市,卖家州,商品类别,商品名长度,商品描述长度,商品图片数量,商品重量(g),商品长度(cm),商品高度(cm),商品宽度(cm)
000b8f95fcb9e0096488278317764d19,40ec8ab6cdafbcc4f544da38c67da39a,6f0dfb5b5398b271cc6bbd9ee263530e,8517e7c86998bf39a540087da6f115d9,delivered,2018-08-01 22:00:00,2018-08-01 22:15:19,2018-08-02 14:20:00,2018-08-07 17:38:00,2018-08-24 00:00:00,7f2dfd48dba158dbf61ba2ea631d93df,93530,novo hamburgo,RS,14303ce09673466b69c4354628aa5a84,5,Produto bom,"Produto bom, mas o pegador da tampa é de plástico, a dobradiça dela também e ele é bem menor do que parece na foto. No resto é bom.",2018-08-08 00:00:00,2018-08-08 23:48:48,1.0,credit_card,1.0,78.5,1,58.9,19.6,85603,francisco beltrao,PR,utilidades_domesticas,25.0,364.0,3.0,550.0,19.0,24.0,12.0
001b237c0e9bb435f2e54071129237e9,d2374cbcbb3ca4ab1086534108cc3ab7,a006aaefd88b5bb6c7ddcecc74916db3,26936078d32b04563ad9ee6611e31e4f,delivered,2018-08-09 01:24:00,2018-08-10 03:05:25,2018-08-13 15:04:00,2018-08-17 22:13:00,2018-08-28 00:00:00,f60f4abe34bc88101db1fcc76099b5e7,8150,sao paulo,SP,eae55b7521f558c6b00a18ac4263f56a,5,Rapidez,Só faltou o outro que foi comprado junto,2018-08-18 00:00:00,2018-08-19 02:44:50,1.0,boleto,1.0,100.09,1,78.9,21.19,14940,ibitinga,SP,cama_mesa_banho,42.0,253.0,1.0,6000.0,40.0,4.0,30.0
003128f981470c3e5a2e7445e4a771cd,b4b447d715f9ab302a188fb43d3e96b3,b5bdf19b8bbc9d7daf5eb8f087a8895e,59ac3b9e18d9d220e42331311e4e29ef,delivered,2018-08-26 22:19:00,2018-08-27 22:23:59,2018-08-28 11:00:00,2018-08-29 17:32:00,2018-08-31 00:00:00,993ac39b14e1d7d2f325adbd31b831ab,7097,guarulhos,SP,61f158504f3f43c494bcf7ba02d254ca,5,Ótimo produto!,"Ótimo produto, entrega muito rápida!",2018-08-30 00:00:00,2018-09-01 22:10:17,1.0,credit_card,10.0,111.7,1,99.98,11.72,4711,sao paulo,SP,esporte_lazer,59.0,1100.0,6.0,1550.0,16.0,10.0,16.0
004636c889c7c3dad6631f136b7fa082,e333046ce6517bd8bb510291d44f0130,4d4ca4a2ebb64c45176252833b2131a9,1c47d3e98ab6db520d78634dedff774f,delivered,2018-08-16 17:43:00,2018-08-16 17:55:24,2018-08-17 14:32:00,2018-08-22 22:28:00,2018-08-27 00:00:00,efbc4b061a87615f5221079a278a7f4d,5435,sao paulo,SP,fac6571201b18fdf3b22db06450a8f7a,1,nao recebi,nao recebi minha compra,2018-08-23 00:00:00,2018-08-24 14:14:42,1.0,credit_card,3.0,62.92,1,49.0,13.92,18950,ipaussu,SP,utilidades_domesticas,46.0,647.0,1.0,550.0,30.0,10.0,25.0
005030ef108f58b46b78116f754d8d38,3c7c4a49ec3c6550809089c6a2ca9370,e932edaa6417ab9aba25187f8e6433dd,dc93c2d3500469cda3d96ca2e50f5142,delivered,2018-08-03 13:23:00,2018-08-04 04:24:02,2018-08-06 12:43:00,2018-08-10 22:55:00,2018-08-20 00:00:00,5923b4f6520b20526b5a59f063e6b0ee,31560,belo horizonte,MG,c7a66ac600e06d489564987ab78b14dc,5,Dermacol 4g,Gostei otimo pra quem quer testar o produto!,2018-08-11 00:00:00,2018-08-12 14:11:50,1.0,boleto,1.0,34.22,1,18.99,15.23,3804,sao paulo,SP,perfumaria,54.0,942.0,1.0,50.0,16.0,5.0,11.0
011377a7487fef47fc9e73fa5f7322a6,688756f717c462a206ad854c5027a64a,32c5abfa9eb2480a7162f1ac2425680d,d264ddc7918ea2bd710b4f425719a70c,delivered,2018-08-05 07:41:00,2018-08-07 04:30:34,2018-08-10 12:56:00,2018-08-22 15:38:00,2018-08-31 00:00:00,a3f3e2d8785b3f3614bc786b9515697c,65053,sao luis,MA,c24509442920e9e7d7cfa45975381d20,1,Não recomendo,A cor do produto que veio é totalmente diferente do da foto. ,2018-08-23 00:00:00,2018-08-23 20:09:41,1.0,boleto,1.0,73.68,1,48.99,24.69,7094,guarulhos,SP,bebes,52.0,559.0,1.0,1875.0,29.0,22.0,26.0
013ee64977aaa6b2b25475095162e0e9,640e21a7d01df7614a3b4923e990d40c,537716eaf03b0a1904be0663cbcdafa9,e8a7df4eee97cecb90adaff30ab1774d,delivered,2018-08-03 14:16:00,2018-08-03 14:30:19,2018-08-03 14:18:00,2018-08-14 21:51:00,2018-08-20 00:00:00,c7819760e70376028f519e3b57e6c441,87470,mariluz,PR,d7cedeef2e446abdc321427c1c742534,3,Não posso opinar,Não posso opinar não usei ainda!,2018-08-15 00:00:00,2018-08-16 03:02:00,1.0,credit_card,8.0,93.28,1,69.99,23.29,14940,ibitinga,SP,cama_mesa_banho,40.0,519.0,2.0,1350.0,45.0,10.0,55.0
013ee64977aaa6b2b25475095162e0e9,640e21a7d01df7614a3b4923e990d40c,b876459be8cda353e0830b7ce970e067,3e4da72fb0173f9f994ee85a0d01a140,delivered,2018-08-02 21:24:00,2018-08-02 21:35:18,2018-08-03 14:18:00,2018-08-21 00:28:00,2018-08-16 00:00:00,0156e3456c1959644b2da32c2cee358c,88390,barra velha,SC,69afe234c4459b389e66ae9539d98182,1,Difícil avaliar ,Fica difícil avAliar se ainda não recebi o produto ,2018-08-18 00:00:00,2018-08-18 03:41:22,1.0,credit_card,2.0,93.28,1,69.99,23.29,14940,ibitinga,SP,cama_mesa_banho,40.0,519.0,2.0,1350.0,45.0,10.0,55.0
0152f69b6cf919bcdaf117aa8c43e5a2,d2374cbcbb3ca4ab1086534108cc3ab7,8c6a8f98b933ff47c7aa8404079d9136,4074bd6acc805899fffe98d0a3f2a27d,delivered,2018-08-21 11:28:00,2018-08-21 12:20:35,2018-08-21 18:33:00,2018-08-24 19:48:00,2018-09-03 00:00:00,4b54dce0c254a2c434f4d404076f53c1,19400,presidente venceslau,SP,d26c00a718d7fee81ce95b080438015f,5,Bom ,Produto chegou antes do prazo parabéns a empresa ,2018-08-25 00:00:00,2018-08-25 23:33:36,1.0,credit_card,3.0,63.39,1,17.9,6.63,14940,ibitinga,SP,cama_mesa_banho,40.0,116.0,1.0,250.0,40.0,4.0,30.0
016711f78a6a87696645db0a6a834826,a5cba26a62b8b4d0145b68b841e62e7f,c15790c4480e97b6a152024a4f53f0f6,ee217a8abefaf7d9da9679cc6d42f242,delivered,2018-08-20 17:09:00,2018-08-20 17:29:41,2018-08-22 11:29:00,2018-08-30 19:03:00,2018-10-04 00:00:00,99a85972598ac28ae4f203676e133b31,28030,campos dos goytacazes,RJ,3fbd375802c4ec58b9ab6052683f8741,5,Ótima!!,Adorei o produto e a rapidez na entrega.,2018-08-31 00:00:00,2018-09-11 13:40:14,1.0,credit_card,6.0,119.89,1,99.9,19.99,87303,campo mourao,PR,beleza_saude,14.0,1366.0,2.0,1150.0,27.0,22.0,39.0
